latitude_deg,longitude_deg,municipality
16.83321,81.53099,Tadepalligudem
16.2431,80.63092,Tenali
23.5325139099,80.8082199097,Umaria
27.3067166667,88.59965,Upper Tadong
26.407627,75.870128,Vanasthali
8.73564,76.70461,Varkala
19.8841,73.8405666667,Vijay Nagar
11.688549,79.321375,Villupuram
17.89855,83.26756,Visakhapatnam
17.77966,83.38549,Visakhapatnam
17.73999,83.31414,Visakhapatnam
16.7261,82.20674,Yanam
